,0
0,Indiana
1,Illinois
2,Utah
3,Delaware
4,Oklahoma
5,California
6,Kentucky
7,Ohio
8,New York
9,Nevada
10,Washington
11,Montana
12,West Virginia
13,Texas
14,Wisconsin
15,Alabama
16,North Dakota
17,Rhode Island
18,Florida
19,North Carolina
20,Kansas
21,Oregon
22,South Dakota
23,Arizona
24,Virginia
25,Connecticut
26,Hawaii
27,Maine
28,New Jersey
29,Maryland
30,New Mexico
31,New Hampshire
32,Nebraska
33,Georgia
34,Wyoming
35,Vermont
36,Colorado
37,Louisiana
38,Pennsylvania
39,Mississippi
40,Michigan
41,Tennessee
42,South Carolina
